ID;Title;Type;House;Cost;STR (Char);Military (Char);Intrigue (Char);Power (Char);Crests (Char);Initiative (Plot);Claim (Plot);Influence;Gold Modifier;Traits;Keywords;Text;TextEffectMethodID
136;Jon Snow;Character;Neutral;3;3;1;;1;;;;;;Bastard. Night's Watch.;No attachments except Weapon.;Ghost is immune to events. Response: After you win a challenge in which Jon Snow or Ghost participated, Jon Snow claims 1 power.;-1
137;Ghost;Character;Neutral;3;3;1;;;;;;;;Creature. Direwolf.;Stealth.;Jon Snow is immune to events. Response: Kneel Ghost to save a Night's Watch character from being killed or discarded from play.;-1
138;Crossroads;Location;Neutral;2;;;;;;;;1;1;Westeros.;;;-1
139;Street of Steel;Location;Neutral;0;;;;;;;;;;King's Landing.;;Limit 1 per deck. Marshalling: Kneel Street of Steel to lower the cost of the next character with a military icon you play this phase by 1.;-1
155;Distraction;Event;Neutral;0;;;;;;;;;;;;Marshalling: choose a character with a military icon. Kneel that character.;-1
156;Winter is Coming;Event;Stark;0;;;;;;;;;;;;Challenges: Raise the Claim value on each Stark player's revealed plot card by 1 for the duration of the challenge. Limit 1 per round.;-1
157;Kings in the North;Event;Stark;0;;;;;;;;;;;;Response: Play after you win dominance. Kneel 2 of your Stark characters to have them claim 1 power each.;-1
158;Lethal Counterattack;Event;Stark;0;;;;;;;;;;;;Challenges: During a military challenge, kneel 2 of your Stark characters to kill all attacking characters. Limit 1 per challenge.;-1
159;Bran the Builder's Legacy;Event;Stark;0;;;;;;;;;;;House Stark only.;Dominance: Pay 3 gold to search your deck for a location card with printed cost 2 or lower, and put that card into play. Then shuffle your deck.;-1
160;Guilty!;Event;Stark;0;;;;;;;;;;;House Stark only.;Dominance: Kneel 3 influence or kneel a Noble character to choose and kill a non-Stark character.;-1
177;Distinct Mastery;Event;Neutral;0;;;;;;;;;;;;Any Phase: Choose and stand a Holy, Learned, Noble, or War character.;S177
195;Building Season;Plot;Neutral;4;;;;;;1;1;;;;;When revealed, choose an opponent. Then, you and that opponent must each search your decks for a location, reveal it, and put it into your hands. Then, Shuffle your decks.;-1
196;Mutual Enemies;Plot;Neutral;2;;;;;;2;2;;;;;When revealed, if you have more than one opponent, choose an opponent. You and that opponent cannot declare military challenges against one another this round.;-1
197;Holding the Trident;Plot;Neutral;3;;;;;;4;1;;;;;While you control fewer characters than any opponent, each character you control gets +2 STR.;-1
198;Calm Over Westeros;Plot;Neutral;4;;;;;;3;1;;;;;In order to play an event card, a player must give an opponent one gold token from his or her gold pool.;-1
199;Snowed Under;Plot;Neutral;3;;;;;;0;1;;;;;At the beginning of the standing phase, choose one kneeling character or location controlled by each player. Return all chosen cards to their owner's hands.;-1
200;The Power of Arms;Plot;Neutral;3;;;;;;1;2;;;;;You may have up to 2 copies of The Power of Arms in your plot deck. War characters you control get +2 STR.;-1
201;Valar Morghulis;Plot;Neutral;2;;;;;;0;0;;;;;Limit 1 per plot deck. When revealed, kill all characters in play.;-1
